"customer_id","sum"
TS-21085,4.8330
LD-16855,5.3040
CJ-11875,16.5200
MG-18205,16.7390
RS-19870,22.3280
SG-20890,47.9460
RE-19405,48.3600
LB-16735,50.1880
AS-10135,58.8200
JC-15340,71.2630
FW-14395,79.7500
AR-10570,88.1500
KS-16300,88.4720
RM-19750,98.3500
CC-12550,113.8320
EL-13735,124.2800
BO-11425,130.8300
PB-19210,132.7380
GH-14665,146.9408
MO-17950,154.2880
DA-13450,156.7600
PT-19090,160.5720
AO-10810,161.2800
ML-18265,162.2320
AG-10765,170.5840
JJ-15760,195.0000
AG-10390,200.9450
HH-15010,218.6680
RB-19645,221.0840
GT-14755,226.4360
EM-14065,228.9900
GP-14740,236.5300
PL-18925,239.4810
SM-20005,244.4940
HD-14785,251.3600
AR-10510,264.8640
BN-11470,265.2960
DD-13570,269.5420
BF-11080,272.9500
NB-18580,273.8720
SC-20800,279.2560
SC-20845,280.6320
LH-16750,287.4260
CM-12445,287.9900
JM-15580,303.9480
JH-15430,309.2810
LH-17020,318.2390
BD-11560,320.5400
LT-16765,329.8760
DW-13540,344.0800
HJ-14875,358.1000
EM-14200,366.8220
AG-10300,367.5480
LS-17230,368.8800
MS-17830,370.3480
NF-18475,377.1620
VM-21835,380.6900
JK-15325,383.8120
JD-16015,385.4300
BW-11065,385.5160
MH-17440,400.0160
BT-11485,415.1960
SS-20590,418.4900
VG-21805,427.3720
ST-20530,433.3400
TT-21265,439.5000
KW-16570,449.0960
KM-16660,453.5380
EC-14050,461.9140
JS-15940,469.1690
MS-17530,475.6560
CR-12625,475.9000
AY-10555,497.0140
RB-19570,528.5460
JH-15820,528.9100
CS-11860,537.6320
CS-12460,550.6440
CM-11935,565.3920
NK-18490,572.0480
BD-11635,582.6460
AS-10240,584.6080
DL-13330,585.0200
MZ-17335,593.6060
BF-10975,599.7980
BT-11440,603.8760
SS-20515,613.4000
RR-19315,615.9320
AJ-10960,629.2480
MR-17545,639.1780
CD-11980,639.7660
JB-16000,644.1188
LO-17170,644.3500
AW-10840,649.3760
AC-10660,657.3160
BD-11770,658.4660
BK-11260,659.1380
AG-10330,660.9720
TR-21325,675.9420
EH-13945,684.1710
PB-19105,688.3240
JD-16060,695.4420
JJ-15445,709.1780
PA-19060,729.4080
PH-18790,729.6480
HM-14980,736.2760
AH-10585,738.5040
PB-18805,740.3560
RH-19555,740.3820
ML-18040,742.0820
TC-21535,742.5580
BB-10990,744.3400
IG-15085,744.5740
Dl-13600,755.6020
LP-17080,756.6060
SW-20755,758.6960
SF-20065,763.5460
MM-18280,775.4140
MG-17890,776.3840
HG-14845,785.6280
BF-11275,791.9900
MC-17635,795.1540
DK-13150,797.8320
BM-11575,808.1620
AM-10360,814.0120
TB-21190,816.1740
EH-13990,825.9500
AS-10630,833.3980
TB-21355,834.3280
CS-12175,844.4580
VG-21790,846.0100
VF-21715,847.9440
MS-17980,855.1160
JC-16105,858.5760
AF-10885,861.5650
JR-15700,863.8800
JM-15655,864.9470
RE-19450,876.6960
SK-19990,883.4090
HE-14800,883.5320
CS-12130,884.6400
RC-19960,885.7520
AB-10015,886.1560
HZ-14950,886.5200
JB-15925,900.5520
SC-20575,902.7280
CG-12040,904.4680
KB-16405,908.8210
AB-10255,914.5320
MO-17500,922.4870
EH-14185,923.8840
AC-10420,925.8000
EM-13960,933.7040
MF-17665,937.0390
EB-13930,944.6000
RF-19840,945.2220
BS-11800,949.4300
RP-19270,954.6452
JF-15295,955.1240
JH-15910,959.4770
SS-20875,964.6360
RC-19825,966.4090
AB-10150,966.7100
RD-19930,970.9420
TS-21340,974.7820
BP-11050,983.4200
KB-16600,983.9220
VP-21730,993.9020
BG-11740,1006.3560
LS-17245,1008.1360
RB-19330,1008.1960
LS-17200,1010.2560
SW-20350,1019.0440
TH-21235,1022.2010
MK-18160,1031.6020
TC-21145,1038.2600
EM-14095,1041.0420
SM-20905,1043.0410
DH-13675,1043.0960
DP-13000,1050.6360
AR-10345,1055.6940
VS-21820,1055.9810
AA-10375,1056.3900
PO-19195,1056.8580
JC-15385,1058.1080
DP-13165,1058.6160
PC-19000,1061.4880
CS-12490,1077.2285
DW-13195,1080.7510
DB-13360,1081.4660
JF-15490,1082.9180
SW-20245,1085.0780
JO-15550,1090.8380
TM-21490,1094.6780
AB-10165,1113.8380
DV-13045,1119.4830
JS-15685,1131.0640
CW-11905,1136.5920
RD-19810,1137.6160
KC-16675,1146.0500
CG-12520,1148.7800
DB-13660,1155.2020
JR-15670,1156.6580
AT-10435,1171.8140
DC-13285,1174.6180
BP-11230,1181.4900
EB-14170,1186.3260
DW-13585,1204.8540
MD-17860,1204.9100
CD-12280,1205.5840
JL-15130,1214.9560
EH-14005,1219.5300
PJ-18835,1220.0900
NP-18685,1228.6980
MG-17875,1242.8330
JW-15955,1244.0860
TC-21475,1244.9760
ER-13855,1245.7880
MH-17620,1252.8000
SC-20680,1254.6400
GM-14500,1255.6820
ME-18010,1256.9440
LW-17125,1259.0400
CL-11890,1262.0140
DO-13645,1267.3160
SV-20815,1271.0900
PS-18970,1278.6390
CS-11845,1278.9540
GR-14560,1284.3800
HR-14770,1299.2880
DO-13435,1300.0315
Co-12640,1300.0760
EK-13795,1303.4780
MC-17575,1303.8930
SP-20545,1306.0860
MM-17260,1314.0230
SJ-20500,1318.7760
MT-18070,1319.4498
DM-12955,1322.0340
SS-20140,1324.0280
BF-11005,1333.8800
BM-11785,1338.8420
SJ-20215,1341.0360
MG-17695,1342.2820
LM-17065,1346.7740
SB-20170,1348.0200
GH-14485,1361.2440
DM-13525,1376.7920
FG-14260,1383.1440
TB-21595,1387.5590
JE-15475,1388.6820
NG-18430,1395.9380
CR-12820,1397.8724
GA-14725,1398.3820
PM-18940,1405.4020
JS-15595,1417.6540
NL-18310,1418.0900
RD-19720,1419.7370
CA-12310,1421.9540
TT-21220,1427.0440
MB-18085,1428.2310
JW-16075,1428.7310
TD-20995,1434.5480
PK-18910,1441.1520
RM-19375,1453.4740
AG-10525,1455.0380
PB-19150,1456.9500
DL-13315,1458.2580
BN-11515,1459.3440
RK-19300,1460.1920
PN-18775,1467.1520
TB-21055,1467.8810
LE-16810,1469.4500
CM-12190,1475.1440
ZD-21925,1493.9440
DL-12865,1503.1120
JG-15805,1507.0180
AB-10600,1515.8620
KA-16525,1519.5060
BV-11245,1523.2730
BD-11725,1526.5000
CH-12070,1537.2360
BD-11620,1538.1100
MB-17305,1548.7020
MV-17485,1560.0500
ON-18715,1567.5200
GB-14530,1568.4400
KB-16315,1569.4640
JL-15175,1571.5230
MC-18130,1581.9980
CK-12760,1582.1090
BF-11215,1585.1620
AH-10195,1587.4520
CR-12730,1600.5500
TB-21250,1602.3760
MS-17710,1613.4020
AZ-10750,1622.0180
AP-10720,1638.5540
EB-13975,1643.2550
CC-12475,1659.4380
CM-12115,1661.6100
JP-15460,1669.1350
CM-11815,1673.8880
CA-12055,1679.7240
KE-16420,1686.7312
RA-19945,1686.9225
MO-17800,1687.0270
DK-12985,1687.0400
BP-11155,1697.8610
TZ-21580,1707.2860
JP-16135,1707.7100
DB-13405,1711.6920
BE-11455,1727.6520
JM-15535,1733.4430
MV-18190,1734.5740
AH-10120,1735.5140
VT-21700,1736.5960
BW-11200,1738.4060
LH-17155,1739.6890
AH-10030,1744.7000
MF-18250,1758.3000
DS-13030,1762.2130
CC-12100,1770.9450
AA-10480,1790.5120
JB-15400,1791.6050
JM-15265,1804.1460
NC-18625,1821.7420
PJ-19015,1824.2340
EG-13900,1832.0200
PC-18745,1832.0640
AJ-10945,1839.2400
PR-18880,1840.1780
SN-20560,1860.4180
CD-12790,1860.7320
NG-18355,1869.5800
SP-20650,1872.4360
BG-11695,1874.1720
SC-20440,1874.9980
LR-17035,1879.3060
SG-20470,1884.7980
GD-14590,1888.0700
KD-16345,1888.9640
SV-20935,1903.4910
ME-17725,1908.4532
JF-15355,1911.8440
JO-15280,1934.2720
TP-21565,1936.6400
CB-12415,1949.2000
LD-17005,1961.9340
SW-20275,1966.6500
NB-18655,1972.5990
PG-18895,1987.1640
DB-13615,1989.0500
HP-14815,1990.3140
VB-21745,2005.5960
DJ-13420,2012.5200
NF-18595,2031.4720
